source.message,dataset,timestamp,$workers.truncated,$workers.event.queue,$workers.event.batchSize,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.scriptVersion.id,$workers.executionModel,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now
"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",cloudflare-workers,2026-04-28T00:53:53.111Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVT,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Found global config for <*>: provider=volcengine, model=doubao-seed-2-0-pro-260215",undefined,undefined,undefined
"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",cloudflare-workers,2026-04-28T00:53:52.429Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVS,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",undefined,undefined,undefined
"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",cloudflare-workers,2026-04-28T00:53:24.907Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVR,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Found global config for <*>: provider=volcengine, model=doubao-seed-2-0-pro-260215",undefined,undefined,undefined
"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",cloudflare-workers,2026-04-28T00:53:24.607Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVQ,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",undefined,undefined,undefined
"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",cloudflare-workers,2026-04-28T00:53:01.086Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVP,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Found global config for <*>: provider=volcengine, model=doubao-seed-2-0-pro-260215",undefined,undefined,undefined
"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",cloudflare-workers,2026-04-28T00:53:01.017Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVN,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",undefined,undefined,undefined
"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",cloudflare-workers,2026-04-28T00:52:31.737Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVM,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Found global config for <*>: provider=volcengine, model=doubao-seed-2-0-pro-260215",undefined,undefined,undefined
"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",cloudflare-workers,2026-04-28T00:52:31.660Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVK,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",undefined,undefined,undefined
✅ 设定 青玄剑法 摘要已生成 (163 字符),cloudflare-workers,2026-04-28T00:52:29.759Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVJ,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,✅ 设定 青玄剑法 摘要已生成 (163 字符),2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,✅ 设定 <*> 摘要已生成 (<*> 字符),undefined,undefined,undefined
"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",cloudflare-workers,2026-04-28T00:52:15.642Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVH,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Found global config for <*>: provider=volcengine, model=doubao-seed-2-0-pro-260215",undefined,undefined,undefined
"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",cloudflare-workers,2026-04-28T00:52:15.571Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVG,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",undefined,undefined,undefined
✅ 设定 万化天珠 摘要已生成 (279 字符),cloudflare-workers,2026-04-28T00:52:15.337Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVF,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,✅ 设定 万化天珠 摘要已生成 (279 字符),2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,✅ 设定 <*> 摘要已生成 (<*> 字符),undefined,undefined,undefined
